runNum	NANC	MaxEstLhood	MaxObsLhood
1	13297	-24908.414	-24799.060
2	13091	-24908.148	-24799.060
3	13069	-24908.919	-24799.060
4	13240	-24908.704	-24799.060
5	13166	-24908.883	-24799.060
6	13362	-24908.881	-24799.060
7	13159	-24907.737	-24799.060
8	13120	-24908.040	-24799.060
9	13264	-24908.650	-24799.060
10	13077	-24908.767	-24799.060
11	13127	-24908.500	-24799.060
12	13208	-24908.537	-24799.060
13	13205	-24908.120	-24799.060
14	13225	-24908.563	-24799.060
15	13288	-24909.116	-24799.060
16	13209	-24908.908	-24799.060
17	12929	-24909.076	-24799.060
18	13064	-24908.452	-24799.060
19	13166	-24907.260	-24799.060
20	13125	-24908.837	-24799.060
21	13089	-24908.722	-24799.060
22	13399	-24908.521	-24799.060
23	13087	-24908.665	-24799.060
24	13234	-24907.887	-24799.060
25	13166	-24908.592	-24799.060
26	13168	-24908.489	-24799.060
27	13111	-24907.974	-24799.060
28	13148	-24907.853	-24799.060
29	13090	-24908.656	-24799.060
30	13170	-24908.536	-24799.060
31	13241	-24908.496	-24799.060
32	13083	-24909.110	-24799.060
33	13067	-24908.414	-24799.060
34	13418	-24908.363	-24799.060
35	13251	-24908.050	-24799.060
36	13075	-24907.852	-24799.060
37	13066	-24908.766	-24799.060
38	13156	-24908.751	-24799.060
39	13231	-24908.753	-24799.060
40	13244	-24908.401	-24799.060
41	13055	-24908.199	-24799.060
42	13093	-24908.312	-24799.060
43	13073	-24908.420	-24799.060
44	13392	-24908.040	-24799.060
45	13254	-24908.830	-24799.060
46	13188	-24909.032	-24799.060
47	13317	-24909.203	-24799.060
48	13235	-24908.514	-24799.060
49	12886	-24908.901	-24799.060
50	13392	-24908.503	-24799.060
