runNum	NCUR	TCON	NANC	RESIZE	MaxEstLhood	MaxObsLhood
1	4763	1778	20067	4.2131010	-24806.296	-24799.060
2	3824	2819	28649	7.4918933	-24817.491	-24799.060
3	3324	2182	28278	8.5072202	-24822.725	-24799.060
4	4866	1772	20080	4.1265927	-24806.022	-24799.060
5	1778	305	17668	9.9370079	-24808.563	-24799.060
6	4908	1948	20344	4.1450693	-24806.156	-24799.060
7	1169	188	17721	15.1591104	-24809.414	-24799.060
8	3856	1045	19008	4.9294606	-24806.584	-24799.060
9	135	121	41917	310.4962963	-24896.925	-24799.060
10	4713	1370	18940	4.0186718	-24805.877	-24799.060
11	3536	2536	28429	8.0398756	-24820.508	-24799.060
12	5028	2003	20148	4.0071599	-24806.425	-24799.060
13	752	108	17489	23.2566489	-24809.944	-24799.060
14	4804	3648	27540	5.7327227	-24810.418	-24799.060
15	5600	3393	23419	4.1819643	-24807.276	-24799.060
16	4441	1445	19465	4.3830218	-24806.038	-24799.060
17	3569	2824	30940	8.6690950	-24820.979	-24799.060
18	4434	1458	19821	4.4702300	-24806.035	-24799.060
19	4954	1842	19613	3.9590230	-24805.900	-24799.060
20	466	399	38892	83.4592275	-24888.712	-24799.060
21	3255	733	18130	5.5698925	-24807.184	-24799.060
22	4625	1483	19035	4.1156757	-24805.877	-24799.060
23	4451	1378	19039	4.2774657	-24805.945	-24799.060
24	2136	1758	34941	16.3581461	-24844.485	-24799.060
25	4409	1370	19136	4.3402132	-24806.246	-24799.060
26	4898	1666	19365	3.9536546	-24806.024	-24799.060
27	4687	1547	19524	4.1655643	-24806.057	-24799.060
28	601	83	17367	28.8968386	-24810.204	-24799.060
29	3695	928	18592	5.0316644	-24806.641	-24799.060
30	1526	1503	41557	27.2326343	-24859.410	-24799.060
31	4337	1274	19110	4.4062716	-24806.108	-24799.060
32	4758	1805	20120	4.2286675	-24806.384	-24799.060
33	4374	3981	32329	7.3911751	-24814.435	-24799.060
34	4935	1673	19342	3.9193516	-24806.180	-24799.060
35	4853	1638	19355	3.9882547	-24806.014	-24799.060
36	4673	1559	19207	4.1102076	-24806.236	-24799.060
37	2457	2030	34526	14.0520961	-24836.433	-24799.060
38	3591	3536	36009	10.0275689	-24821.365	-24799.060
39	4976	1796	19794	3.9778939	-24806.081	-24799.060
40	1976	2138	44684	22.6133603	-24849.645	-24799.060
41	4668	1531	19470	4.1709512	-24806.347	-24799.060
42	4615	1455	19313	4.1848321	-24806.283	-24799.060
43	5091	1776	19348	3.8004321	-24805.952	-24799.060
44	4592	1474	19655	4.2802700	-24806.224	-24799.060
45	2849	2361	33114	11.6230256	-24830.637	-24799.060
46	438	316	35193	80.3493151	-24885.366	-24799.060
47	4614	1400	18977	4.1129172	-24806.248	-24799.060
48	4018	1831	21629	5.3830264	-24810.673	-24799.060
49	2323	1607	30976	13.3344813	-24838.658	-24799.060
50	5064	1781	19560	3.8625592	-24805.794	-24799.060
