runNum	NCUR	NBOT	NANC	TBOT	RESBOT	RESENDBOT	TENDBOT	MaxEstLhood	MaxObsLhood
1	5711	1543	21028	1780	0.2701804	13.6279974	1980	-24806.334	-24799.060
2	5258	2141	20583	1652	0.4071890	9.6137319	1852	-24806.325	-24799.060
3	5605	1186	18457	356	0.2115968	15.5623946	556	-24806.185	-24799.060
4	4904	1573	18730	640	0.3207586	11.9071837	840	-24806.272	-24799.060
5	6368	1838	24694	3834	0.2886307	13.4352557	4034	-24807.097	-24799.060
6	4790	1359	18545	428	0.2837161	13.6460633	628	-24806.351	-24799.060
7	6610	2694	32508	6889	0.4075643	12.0668151	7089	-24806.832	-24799.060
8	6217	2124	24954	3798	0.3416439	11.7485876	3998	-24806.617	-24799.060
9	6651	2141	23922	4049	0.3219065	11.1732835	4249	-24807.383	-24799.060
10	6560	1737	25455	4102	0.2647866	14.6545769	4302	-24807.086	-24799.060
11	5514	1960	20581	1701	0.3554588	10.5005102	1901	-24806.356	-24799.060
12	5433	1299	18643	468	0.2390944	14.3518091	668	-24806.177	-24799.060
13	9662	1068	18396	240	0.1105361	17.2247191	440	-24805.907	-24799.060
14	5303	2893	20361	1714	0.5455403	7.0380228	1914	-24806.165	-24799.060
15	6400	1277	28395	4759	0.1995312	22.2357087	4959	-24806.826	-24799.060
16	6263	1938	25444	3842	0.3094364	13.1289990	4042	-24806.794	-24799.060
17	6383	4158	26385	4899	0.6514178	6.3455988	5099	-24806.939	-24799.060
18	6251	1933	26173	4246	0.3092305	13.5400931	4446	-24806.822	-24799.060
19	6363	1601	26580	4357	0.2516109	16.6021237	4557	-24806.811	-24799.060
20	5172	2162	20596	1628	0.4180201	9.5263645	1828	-24806.095	-24799.060
21	5924	1275	18816	567	0.2152262	14.7576471	767	-24805.867	-24799.060
22	6095	1185	18182	335	0.1944217	15.3434599	535	-24806.132	-24799.060
23	6335	2122	24858	3839	0.3349645	11.7144204	4039	-24807.271	-24799.060
24	6207	1452	26513	3831	0.2339294	18.2596419	4031	-24806.871	-24799.060
25	6323	1978	28206	4822	0.3128262	14.2598584	5022	-24806.768	-24799.060
26	6346	1635	35087	6514	0.2576426	21.4599388	6714	-24806.690	-24799.060
27	6172	1759	27771	4580	0.2849968	15.7879477	4780	-24807.011	-24799.060
28	8261	1109	18220	262	0.1342452	16.4292155	462	-24806.295	-24799.060
29	6236	1821	25637	3946	0.2920141	14.0785283	4146	-24806.808	-24799.060
30	6560	2217	28450	5337	0.3379573	12.8326567	5537	-24806.879	-24799.060
31	5980	2113	21283	2265	0.3533445	10.0724089	2465	-24806.225	-24799.060
32	6468	1999	25919	4353	0.3090600	12.9659830	4553	-24806.432	-24799.060
33	6356	1784	27143	4501	0.2806797	15.2146861	4701	-24806.983	-24799.060
34	6552	2553	30485	6046	0.3896520	11.9408539	6246	-24806.791	-24799.060
35	5028	1312	18174	291	0.2609387	13.8521341	491	-24806.190	-24799.060
36	5982	1713	28182	4341	0.2863591	16.4518389	4541	-24806.824	-24799.060
37	5879	1769	20634	1805	0.3009015	11.6642171	2005	-24806.139	-24799.060
38	5164	1517	18396	553	0.2937645	12.1265656	753	-24806.273	-24799.060
39	6366	1990	30605	5576	0.3125982	15.3793970	5776	-24807.092	-24799.060
40	6025	2383	26525	4225	0.3955187	11.1309274	4425	-24806.829	-24799.060
41	4754	1546	18753	612	0.3251998	12.1300129	812	-24806.165	-24799.060
42	6379	1317	29074	4825	0.2064587	22.0759301	5025	-24806.655	-24799.060
43	5504	1819	19441	1213	0.3304869	10.6877405	1413	-24805.989	-24799.060
44	6012	2157	23864	3263	0.3587824	11.0635141	3463	-24806.619	-24799.060
45	6471	1553	27206	4538	0.2399938	17.5183516	4738	-24807.278	-24799.060
46	6327	1646	27693	4653	0.2601549	16.8244228	4853	-24806.793	-24799.060
47	5714	1660	20478	1652	0.2905145	12.3361446	1852	-24806.272	-24799.060
48	5701	1203	18401	298	0.2110156	15.2959268	498	-24806.128	-24799.060
49	5068	1264	18350	349	0.2494081	14.5174051	549	-24806.243	-24799.060
50	5313	2239	19608	1386	0.4214192	8.7574810	1586	-24805.891	-24799.060
